0,0,0
1.00E-01,-7.83E-08,-2.34854E-07
2.00E-01,-2.35E-07,-7.04565E-07
3.00E-01,-3.91E-07,-1.17427E-06
5.00E-01,-7.05E-07,-2.11367E-06
9.00E-01,-1.33E-06,-3.9924E-06
1.70E+00,-2.58E-06,-7.74957E-06
3.30E+00,-5.09E-06,-1.52629E-05
6.50E+00,-1.01E-05,-0.000030285
1.29E+01,-2.01E-05,-0.000060312
2.57E+01,-4.01E-05,-0.000120296
5.13E+01,-8.00E-05,-0.000239984
1.03E+02,-1.59E-04,-0.000478248
2.05E+02,-3.17E-04,-0.000950352
4.10E+02,-6.26E-04,-0.001877073
8.19E+02,-1.22E-03,-0.00366228
1.64E+03,-2.32E-03,-0.00697317
2.87E+03,-3.78E-03,-0.01135335
4.71E+03,-5.60E-03,-0.01679202
7.48E+03,-7.64E-03,-0.02293221
1.16E+04,-9.65E-03,-0.02895318
1.78E+04,-1.13E-02,-0.0337725
2.72E+04,-1.22E-02,-0.0366906
3.72E+04,-1.26E-02,-0.0377865
4.72E+04,-1.27E-02,-0.0381201
5.72E+04,-1.27E-02,-0.0381711
6.72E+04,-1.27E-02,-0.038118
7.72E+04,-1.27E-02,-0.0380265
8.64E+04,-1.26E-02,-0.0379293
